frame,x,y,visible
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,-1,-1,0
20,-1,-1,0
21,-1,-1,0
22,-1,-1,0
23,-1,-1,0
24,-1,-1,0
25,-1,-1,0
26,-1,-1,0
27,-1,-1,0
28,-1,-1,0
29,-1,-1,0
30,-1,-1,0
31,-1,-1,0
32,-1,-1,0
33,-1,-1,0
34,-1,-1,0
35,-1,-1,0
36,-1,-1,0
37,-1,-1,0
38,-1,-1,0
39,-1,-1,0
40,-1,-1,0
41,-1,-1,0
42,-1,-1,0
43,-1,-1,0
44,-1,-1,0
45,-1,-1,0
46,-1,-1,0
47,-1,-1,0
48,-1,-1,0
49,-1,-1,0
50,-1,-1,0
51,-1,-1,0
52,-1,-1,0
53,-1,-1,0
54,-1,-1,0
55,-1,-1,0
56,-1,-1,0
57,-1,-1,0
58,-1,-1,0
59,-1,-1,0
60,-1,-1,0
61,-1,-1,0
62,-1,-1,0
63,-1,-1,0
64,-1,-1,0
65,-1,-1,0
66,-1,-1,0
67,-1,-1,0
68,-1,-1,0
69,1180.0,647.0,1
70,1180.0,647.0,1
71,1176.0,645.0,1
72,1177.0,645.0,1
73,1171.0,636.0,1
74,1171.0,636.0,1
75,1172.0,621.0,1
76,1172.0,621.0,1
77,1175.0,612.0,1
78,1175.0,612.0,1
79,1175.0,612.0,1
80,1175.0,612.0,1
81,1175.0,612.0,1
82,1181.0,587.0,1
83,1179.0,582.0,1
84,1179.0,582.0,1
85,1177.0,581.0,1
86,1177.0,581.0,1
87,1168.0,604.0,1
88,1168.0,604.0,1
89,1168.0,604.0,1
90,1168.0,604.0,1
91,1195.0,541.0,1
92,1195.0,541.0,1
93,1187.0,521.0,1
94,1187.0,521.0,1
95,1186.0,527.0,1
96,1186.0,527.0,1
97,1186.0,527.0,1
98,1186.0,554.0,1
99,1186.0,554.0,1
100,1186.0,554.0,1
101,1186.0,554.0,1
102,1186.0,554.0,1
103,1186.0,554.0,1
104,1186.0,554.0,1
105,1172.0,573.0,1
106,1172.0,573.0,1
107,1166.0,538.0,1
108,1166.0,538.0,1
109,1151.0,545.0,1
110,1151.0,545.0,1
111,1172.0,470.0,1
112,1172.0,470.0,1
113,1174.0,466.0,1
114,1174.0,466.0,1
115,1176.0,459.0,1
116,1176.0,458.0,1
117,1178.0,453.0,1
118,1178.0,453.0,1
119,1179.0,453.0,1
120,1179.0,453.0,1
121,1182.0,453.0,1
122,1182.0,453.0,1
123,1185.0,455.0,1
124,1184.0,455.0,1
125,1185.0,457.0,1
126,1185.0,457.0,1
127,1188.0,462.0,1
128,1188.0,462.0,1
129,1188.0,462.0,1
130,1189.0,469.0,1
131,1191.0,474.0,1
132,1191.0,474.0,1
133,1192.0,484.0,1
134,1192.0,484.0,1
135,1193.0,496.0,1
136,1193.0,496.0,1
137,1194.0,503.0,1
138,1194.0,503.0,1
139,1192.0,503.0,1
140,1192.0,503.0,1
141,1197.0,539.0,1
142,1197.0,539.0,1
143,1197.0,538.0,1
144,1200.0,549.0,1
145,1200.0,550.0,1
146,1202.0,547.0,1
147,1202.0,547.0,1
148,1202.0,547.0,1
149,1202.0,547.0,1
150,1208.0,500.0,1
151,1206.0,499.0,1
152,1207.0,499.0,1
153,1207.0,499.0,1
154,1208.0,499.0,1
155,1208.0,499.0,1
156,1208.0,499.0,1
157,1208.0,499.0,1
158,1208.0,499.0,1
159,1208.0,499.0,1
160,1208.0,499.0,1
161,1208.0,499.0,1
162,1208.0,499.0,1
163,1208.0,499.0,1
164,1208.0,499.0,1
165,1208.0,499.0,1
166,1208.0,499.0,1
