frame,x,y,visible
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,884.0,491.0,1
15,884.0,491.0,1
16,884.0,491.0,1
17,884.0,491.0,1
18,884.0,491.0,1
19,884.0,491.0,1
20,884.0,491.0,1
21,884.0,491.0,1
22,860.0,420.0,1
23,861.0,420.0,1
24,872.0,414.0,1
25,872.0,414.0,1
26,872.0,414.0,1
27,872.0,414.0,1
28,872.0,414.0,1
29,872.0,414.0,1
30,872.0,414.0,1
31,872.0,414.0,1
32,872.0,414.0,1
33,872.0,414.0,1
34,872.0,414.0,1
35,872.0,414.0,1
36,872.0,414.0,1
37,872.0,414.0,1
38,872.0,414.0,1
39,872.0,414.0,1
40,947.0,423.0,1
41,947.0,423.0,1
42,947.0,423.0,1
43,947.0,423.0,1
44,961.0,419.0,1
45,961.0,419.0,1
46,974.0,416.0,1
47,974.0,416.0,1
48,988.0,419.0,1
49,988.0,419.0,1
50,1001.0,427.0,1
51,1001.0,427.0,1
52,1013.0,441.0,1
53,1013.0,441.0,1
54,1013.0,441.0,1
55,1013.0,441.0,1
56,1013.0,441.0,1
57,1013.0,441.0,1
58,1013.0,441.0,1
59,1013.0,441.0,1
60,1013.0,441.0,1
61,1013.0,441.0,1
62,1013.0,441.0,1
63,1013.0,441.0,1
64,1013.0,441.0,1
65,1013.0,441.0,1
66,1013.0,441.0,1
67,1013.0,441.0,1
68,1013.0,441.0,1
69,1013.0,441.0,1
70,1013.0,441.0,1
71,1013.0,441.0,1
72,1013.0,441.0,1
73,1013.0,441.0,1
74,1013.0,441.0,1
75,1013.0,441.0,1
76,1013.0,441.0,1
77,1013.0,441.0,1
78,1013.0,441.0,1
79,1013.0,441.0,1
80,1013.0,441.0,1
81,1013.0,441.0,1
82,1013.0,441.0,1
83,1013.0,441.0,1
84,1013.0,441.0,1
85,1013.0,441.0,1
86,1013.0,441.0,1
87,1013.0,441.0,1
88,1013.0,441.0,1
89,1013.0,441.0,1
90,1013.0,441.0,1
91,1013.0,441.0,1
92,1013.0,441.0,1
93,1013.0,441.0,1
94,1013.0,441.0,1
95,1013.0,441.0,1
96,1013.0,441.0,1
97,1013.0,441.0,1
98,1013.0,441.0,1
99,1013.0,441.0,1
100,1013.0,441.0,1
101,1013.0,441.0,1
102,1013.0,441.0,1
103,1022.0,467.0,1
104,1023.0,467.0,1
105,984.0,460.0,1
106,984.0,460.0,1
107,946.0,454.0,1
108,947.0,454.0,1
109,905.0,455.0,1
110,906.0,455.0,1
111,868.0,456.0,1
112,868.0,456.0,1
113,868.0,456.0,1
114,868.0,456.0,1
115,826.0,459.0,1
116,826.0,459.0,1
117,789.0,471.0,1
118,789.0,471.0,1
119,752.0,488.0,1
120,752.0,488.0,1
121,714.0,505.0,1
122,714.0,505.0,1
123,714.0,502.0,1
124,714.0,502.0,1
125,714.0,502.0,1
126,714.0,502.0,1
127,714.0,502.0,1
128,714.0,502.0,1
129,714.0,502.0,1
130,714.0,502.0,1
131,714.0,502.0,1
132,714.0,502.0,1
133,714.0,502.0,1
134,714.0,502.0,1
135,714.0,502.0,1
136,714.0,502.0,1
137,714.0,502.0,1
138,714.0,502.0,1
139,714.0,502.0,1
140,714.0,502.0,1
141,714.0,502.0,1
142,714.0,502.0,1
143,714.0,502.0,1
144,714.0,502.0,1
145,714.0,502.0,1
146,714.0,502.0,1
147,714.0,502.0,1
148,714.0,502.0,1
149,714.0,502.0,1
150,714.0,502.0,1
151,714.0,502.0,1
152,714.0,502.0,1
153,714.0,502.0,1
154,714.0,502.0,1
155,714.0,502.0,1
156,714.0,502.0,1
157,714.0,502.0,1
158,714.0,502.0,1
159,714.0,502.0,1
160,714.0,502.0,1
