epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3515,2.82629,7.34184,1.71268,0.00041,0.11905,0.00026,7e-05,2.68233,4.0941,1.49753,0.07525,0.00025,0.00025
2,25.5596,2.58356,3.41771,1.32792,0.30769,0.38095,0.29678,0.12015,2.22852,3.8375,1.27604,0.0495099,0.000509875,0.000509875
3,38.8014,2.40636,2.68109,1.30507,0.63669,0.07143,0.27875,0.11162,2.44529,3.08822,1.44031,0.0237692,0.000769248,0.000769248
4,50.0168,2.40033,2.6945,1.31054,0.63646,0.33333,0.4658,0.16945,2.10417,2.45437,1.30685,0.000997803,0.000997803,0.000997803
5,62.4901,2.25059,2.60042,1.27705,0.14202,0.19048,0.11446,0.03955,2.1994,2.84036,1.34148,0.000996097,0.000996097,0.000996097
6,73.5132,2.13581,2.31043,1.24398,0.31772,0.52381,0.38126,0.15714,2.26552,1.87941,1.36106,0.000993906,0.000993906,0.000993906
7,85.5211,2.05724,2.14887,1.23342,0.46207,0.40476,0.37513,0.13732,1.98193,1.99377,1.27748,0.000991232,0.000991232,0.000991232
8,97.1599,2.07691,2.00945,1.19409,0.43416,0.59524,0.49663,0.22505,1.98654,1.62101,1.25528,0.000988079,0.000988079,0.000988079
9,109.277,1.98196,1.89532,1.1667,0.35162,0.35714,0.34115,0.12581,2.00259,1.90133,1.3136,0.000984449,0.000984449,0.000984449
10,120.996,2.03433,1.82424,1.19358,0.53636,0.5,0.4679,0.22428,1.98082,1.70808,1.28853,0.000980345,0.000980345,0.000980345
11,131.883,1.81023,1.68358,1.14341,0.66301,0.51545,0.59397,0.25029,1.88344,1.58137,1.30325,0.000975773,0.000975773,0.000975773
12,143.711,1.9167,1.71872,1.14286,0.49999,0.69048,0.56629,0.27551,1.9589,1.79238,1.2479,0.000970736,0.000970736,0.000970736
13,156.143,1.96054,1.67148,1.17596,0.51386,0.64286,0.54941,0.28685,1.87879,1.63861,1.26126,0.000965239,0.000965239,0.000965239
14,168.423,1.88225,1.63375,1.09411,0.74357,0.52381,0.6121,0.2719,1.89322,1.56309,1.2547,0.000959289,0.000959289,0.000959289
15,179.587,1.74421,1.50278,1.10188,0.82541,0.47619,0.62679,0.31642,1.84195,1.45663,1.2049,0.000952889,0.000952889,0.000952889
